#,Que la Republique etait belle sous l'Empire!,Alphonse Aulard
#,Les exigences d'un grand peuple sont a l'echelle de ses malheurs.,Charles de Gaulle
#,Les grands pays le sont pour l'avoir voulu.,Charles de Gaulle
#,Toute ma vie je me suis fait une certaine idee de la France.,Charles de Gaulle
#,"Le patriotisme, c'est aimer son pays. Le nationalisme, c'est detester celui des autres.",Charles de Gaulle
#,Un pays qui produit plus de 365 sortes de fromages ne peut pas perdre la guerre!,Charles de Gaulle
#,Le machin qu'on appelle l'ONU.,Charles de Gaulle
#,"L'Etat, quel qu'il soit, est le fonctionnaire de la societe.",Charles Maurras 
#,Les promesses des hommes politiques n'engagent que ceux qui les recoivent.,Charles Pasqua
#,Puisse-je vivre dans un etat ou les citoyens craignent moins les lois que la honte!,Cleobule de Lindos
#,Nous tendons la main aux Europeens et esperons qu'ils nous la tendrons en retour.,Colin Luther Powell
#,"Le communisme, c'est une des seules maladies graves qu'on n'a pas experimentees sur les animaux.",Coluche
#,La moitie des hommes politiques sont des bons a rien. Les autres sont prets a tout.,Coluche
#,Grand concours de plaisanteries politiques en URSS. Premier prix : dix ans en Siberie!,Coluche
#,Un ministre inculpe de corruption de fonctionnaire : il avait donne un sucre a un chien policier.,Coluche
#,Je ferai aimablement remarquer aux hommes politiques qui me prennent pour un rigolo que ce n'est pas moi qui ai commence.,Coluche
#,"Technocrates, c'est les mecs que, quand tu leur poses une question, une fois qu'ils ont fini de repondre, tu comprends plus la question que t'as posee!",Coluche
#,"Gauchisme, remede a la maladie senile du communisme.",Daniel Cohn-Bendit
#,Eloignez le sabre... - Les Etats peuvent etre sauves sans lui.,Edward Bulwer-Lytton
#,"Ce sera un gouvernement libre, mais qui mettra en oeuvre scrupuleusement le projet.",Francois Fillon
#,"Plus il y a d'impots moins il y a d'emplois.",Francois Fillon
#,"J'aime les Americains, pas leur politique.",Francois Mitterrand
#,"Un dictateur n'a pas de concurrent a sa taille tant que le peuple ne releve pas le defi.",Francois Mitterrand
#,Celui qui quitte votre parti pour aller dans un autre est un traître. Celui qui vient d'un autre parti pour rejoindre le votre est un converti.,Georges Clemenceau
#,Un probleme politique est un probleme economique sans solution.,Georges Elgozy
#,Est-ce qu'on emporte la patrie a la semelle de ses souliers?,Georges Jacques Danton
#,Que la pique du peuple brise le sceptre des rois.,Georges Jacques Danton
#,En politique vaut mieux participer qu'etre parti pisser.,Gustave Parking
#,On nous dit que notre politique a echoue : est-ce une raison pour y renoncer?,Guy Mollet
#,"La politique, ce n'est pas de resoudre les problemes, c'est de faire taire ceux qui les posent.",Henri Queuille
#,La politique n'agit sur l'economie que si elle ne pretend pas le faire.,Jacques Attali
#,"L'Europe ca n'existe pas, ca n'a jamais existe.",Jacques Attali
#,On ne mene pas une politique etrangere avec des clins d'oeil et des ronds de jambe...,Jacques Verges
